HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N18.HOG0000000	OG0000000	n17							GZABCY1EN_000630	GZABGL1EN_010107																
N18.HOG0000001	OG0000000	n18							GZABCY1EN_009747	GZABGL1EN_009951																
N18.HOG0000002	OG0000000	n24							GZABCY1EN_010724	GZABGL1EN_004134, GZABGL1EN_007361																
N18.HOG0000003	OG0000000	n43							GZABCY1EN_013970	GZABGL1EN_008586, GZABGL1EN_013535																
N18.HOG0000004	OG0000000	n65							GZABCY1EN_000055, GZABCY1EN_000056	GZABGL1EN_004701																
N18.HOG0000005	OG0000000	n82							GZABCY1EN_000202																	
N18.HOG0000006	OG0000000	n92							GZABCY1EN_002084	GZABGL1EN_004987																
N18.HOG0000007	OG0000000	n93							GZABCY1EN_009027	GZABGL1EN_013917																
N18.HOG0000008	OG0000000	n111							GZABCY1EN_006008	GZABGL1EN_005194, GZABGL1EN_007761																
N18.HOG0000009	OG0000000	n138							GZABCY1EN_011669	GZABGL1EN_014144																
N18.HOG0000010	OG0000000	n175							GZABCY1EN_013573	GZABGL1EN_008264																
N18.HOG0000011	OG0000000	n176							GZABCY1EN_010807	GZABGL1EN_009139																
N18.HOG0000012	OG0000000	n177							GZABCY1EN_007002	GZABGL1EN_007534																
N18.HOG0000013	OG0000000	n184							GZABCY1EN_001500	GZABGL1EN_004916, GZABGL1EN_008665																
N18.HOG0000014	OG0000000	n204							GZABCY1EN_004122, GZABCY1EN_003171	GZABGL1EN_009369, GZABGL1EN_013696																
N18.HOG0000015	OG0000000	n210								GZABGL1EN_003271																
N18.HOG0000016	OG0000000	n231							GZABCY1EN_005825, GZABCY1EN_002169	GZABGL1EN_006868																
N18.HOG0000017	OG0000000	n265							GZABCY1EN_001281	GZABGL1EN_004170																
N18.HOG0000018	OG0000000	n266							GZABCY1EN_012431	GZABGL1EN_015261																
N18.HOG0000019	OG0000000	n271							GZABCY1EN_000740, GZABCY1EN_004865	GZABGL1EN_010197, GZABGL1EN_011655																
N18.HOG0000020	OG0000000	n305							GZABCY1EN_003379	GZABGL1EN_006390																
N18.HOG0000021	OG0000000	n306							GZABCY1EN_008497	GZABGL1EN_010124																
N18.HOG0000022	OG0000000	n331							GZABCY1EN_004968, GZABCY1EN_006268	GZABGL1EN_013586																
N18.HOG0000023	OG0000000	n343							GZABCY1EN_009215, GZABCY1EN_007705	GZABGL1EN_009718, GZABGL1EN_006224																
N18.HOG0000024	OG0000000	n388							GZABCY1EN_014223	GZABGL1EN_008639																
N18.HOG0000025	OG0000000	n389							GZABCY1EN_014402	GZABGL1EN_007661																
N18.HOG0000026	OG0000000	n390								GZABGL1EN_010821																
N18.HOG0000027	OG0000000	n446							GZABCY1EN_004040	GZABGL1EN_005563, GZABGL1EN_009320																
N18.HOG0000028	OG0000000	n466							GZABCY1EN_006934, GZABCY1EN_013930	GZABGL1EN_013509, GZABGL1EN_008015																
N18.HOG0000029	OG0000000	n521							GZABCY1EN_007575	GZABGL1EN_013599																
N18.HOG0000030	OG0000000	n536							GZABCY1EN_006655																	
N18.HOG0000031	OG0000000	n540							GZABCY1EN_011561	GZABGL1EN_014553																
N18.HOG0000032	OG0000000	n541							GZABCY1EN_012461	GZABGL1EN_015712																
N18.HOG0000033	OG0000001	n5							GZABCY1EN_012553, GZABCY1EN_004016, GZABCY1EN_012144	GZABGL1EN_013723																
N18.HOG0000034	OG0000001	n24								GZABGL1EN_015775																
N18.HOG0000035	OG0000001	n25								GZABGL1EN_009276																
N18.HOG0000036	OG0000001	n63							GZABCY1EN_011585	GZABGL1EN_005041																
N18.HOG0000037	OG0000001	n95							GZABCY1EN_010570	GZABGL1EN_008345																
N18.HOG0000038	OG0000001	n96							GZABCY1EN_014020	GZABGL1EN_009124																
N18.HOG0000039	OG0000001	n97							GZABCY1EN_000736, GZABCY1EN_001079	GZABGL1EN_006085																
N18.HOG0000040	OG0000001	n122							GZABCY1EN_010186	GZABGL1EN_003504																
N18.HOG0000041	OG0000001	n151							GZABCY1EN_012132, GZABCY1EN_014695	GZABGL1EN_009832, GZABGL1EN_010917																
N18.HOG0000042	OG0000001	n169							GZABCY1EN_004034	GZABGL1EN_005569, GZABGL1EN_009325																
N18.HOG0000043	OG0000001	n185							GZABCY1EN_010360	GZABGL1EN_013332																
N18.HOG0000044	OG0000001	n195							GZABCY1EN_013207, GZABCY1EN_012736	GZABGL1EN_003558, GZABGL1EN_013299																
N18.HOG0000045	OG0000001	n218							GZABCY1EN_009441	GZABGL1EN_011895																
N18.HOG0000046	OG0000001	n254							GZABCY1EN_013454	GZABGL1EN_012822																
N18.HOG0000047	OG0000001	n271							GZABCY1EN_012844	GZABGL1EN_011828, GZABGL1EN_003518																
N18.HOG0000048	OG0000001	n281								GZABGL1EN_016150																
N18.HOG0000049	OG0000001	n282							GZABCY1EN_005775	GZABGL1EN_015757																
N18.HOG0000050	OG0000001	n303							GZABCY1EN_005871, GZABCY1EN_013526	GZABGL1EN_011462, GZABGL1EN_015058																
N18.HOG0000051	OG0000001	n320							GZABCY1EN_008636	GZABGL1EN_009615, GZABGL1EN_006624																
N18.HOG0000052	OG0000001	n327							GZABCY1EN_009390																	
N18.HOG0000053	OG0000001	n349							GZABCY1EN_012566																	
N18.HOG0000054	OG0000001	n376							GZABCY1EN_006106, GZABCY1EN_004884	GZABGL1EN_008139																
N18.HOG0000055	OG0000001	n404							GZABCY1EN_000405	GZABGL1EN_007311																
N18.HOG0000056	OG0000001	n405							GZABCY1EN_014182	GZABGL1EN_003792																
N18.HOG0000057	OG0000001	n407							GZABCY1EN_001147	GZABGL1EN_011389, GZABGL1EN_005126																
N18.HOG0000058	OG0000002	n4							GZABCY1EN_006571, GZABCY1EN_007114																	
N18.HOG0000059	OG0000002	n6							GZABCY1EN_006339	GZABGL1EN_014701, GZABGL1EN_010495																
N18.HOG0000060	OG0000002	n30							GZABCY1EN_002127	GZABGL1EN_010843																
N18.HOG0000061	OG0000002	n32							GZABCY1EN_012672	GZABGL1EN_011153																
N18.HOG0000062	OG0000002	n62								GZABGL1EN_007553																
