HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N11.HOG0000000	OG0000000	n24					GGMULA1EN_008598	GGRHOR1EN_005718, GGRHOR1EN_000999, GGRHOR1EN_003096, GGRHOR1EN_005369								GZMUCI1EN_005454	GZMUCI2EN_005516	GZMUFR1EN_010141	GZMUHI1EN_003838	GZMUPL2EN_007906		GZRHMI1EN_009360, GZRHMI1EN_006249	GZRHST1EN_002978, GZRHST1EN_007559, GZRHST1EN_010609			
N11.HOG0000001	OG0000000	n43						GGRHOR1EN_011492														GZRHMI1EN_005750	GZRHST1EN_006827			
N11.HOG0000002	OG0000000	n48					GGMULA1EN_000691, GGMULA1EN_000990	GGRHOR1EN_000535, GGRHOR1EN_008541								GZMUCI1EN_006520, GZMUCI1EN_001511	GZMUCI2EN_007130, GZMUCI2EN_000176	GZMUFR1EN_000872, GZMUFR1EN_008551	GZMUHI1EN_010935, GZMUHI1EN_001693	GZMUPL2EN_008650, GZMUPL2EN_006833		GZRHMI1EN_008364	GZRHST1EN_003002			
N11.HOG0000003	OG0000000	n65					GGMULA1EN_007452									GZMUCI1EN_006394	GZMUCI2EN_007251	GZMUFR1EN_001460	GZMUHI1EN_006036	GZMUPL2EN_009214						
N11.HOG0000004	OG0000000	n82						GGRHOR1EN_012655, GGRHOR1EN_012483												GZMUPL2EN_008210		GZRHMI1EN_001067	GZRHST1EN_009533			
N11.HOG0000005	OG0000000	n111					GGMULA1EN_001958, GGMULA1EN_003830	GGRHOR1EN_001099								GZMUCI1EN_005698, GZMUCI1EN_002674	GZMUCI2EN_006143, GZMUCI2EN_003798	GZMUFR1EN_002636	GZMUHI1EN_000646, GZMUHI1EN_003319	GZMUPL2EN_002648, GZMUPL2EN_003889		GZRHMI1EN_010163	GZRHST1EN_007662			
N11.HOG0000006	OG0000000	n138					GGMULA1EN_007797	GGRHOR1EN_006870, GGRHOR1EN_008253								GZMUCI1EN_003340	GZMUCI2EN_002287	GZMUFR1EN_003766		GZMUPL2EN_007014		GZRHMI1EN_008391	GZRHST1EN_003752			
N11.HOG0000007	OG0000000	n151					GGMULA1EN_006125, GGMULA1EN_003642	GGRHOR1EN_013833, GGRHOR1EN_005561								GZMUCI1EN_004732, GZMUCI1EN_011171	GZMUCI2EN_005044, GZMUCI2EN_011253	GZMUFR1EN_009793, GZMUFR1EN_001406	GZMUHI1EN_011961, GZMUHI1EN_006285	GZMUPL2EN_008119, GZMUPL2EN_000566		GZRHMI1EN_009210	GZRHST1EN_005001, GZRHST1EN_011791			
N11.HOG0000008	OG0000000	n184						GGRHOR1EN_009504, GGRHOR1EN_007114								GZMUCI1EN_011000	GZMUCI2EN_005784		GZMUHI1EN_000230	GZMUPL2EN_003840		GZRHMI1EN_001931	GZRHST1EN_008056, GZRHST1EN_011655			
N11.HOG0000009	OG0000000	n210					GGMULA1EN_002316	GGRHOR1EN_009717								GZMUCI1EN_007854	GZMUCI2EN_008442	GZMUFR1EN_001081	GZMUHI1EN_011224	GZMUPL2EN_009263		GZRHMI1EN_003777				
N11.HOG0000010	OG0000000	n225														GZMUCI1EN_000134	GZMUCI2EN_003208	GZMUFR1EN_002326		GZMUPL2EN_010343						
N11.HOG0000011	OG0000000	n238					GGMULA1EN_008167	GGRHOR1EN_013363, GGRHOR1EN_007745								GZMUCI1EN_000993	GZMUCI2EN_000898	GZMUFR1EN_005804	GZMUHI1EN_011259	GZMUPL2EN_004885		GZRHMI1EN_000988	GZRHST1EN_002676, GZRHST1EN_012406			
N11.HOG0000012	OG0000000	n248					GGMULA1EN_010922	GGRHOR1EN_004156, GGRHOR1EN_006581								GZMUCI1EN_011013	GZMUCI2EN_005797	GZMUFR1EN_007141, GZMUFR1EN_007949	GZMUHI1EN_001851	GZMUPL2EN_003856		GZRHMI1EN_006976, GZRHMI1EN_006147	GZRHST1EN_001963, GZRHST1EN_008381			
N11.HOG0000013	OG0000000	n271					GGMULA1EN_000006	GGRHOR1EN_004657								GZMUCI1EN_001953	GZMUCI2EN_009961	GZMUFR1EN_004587	GZMUHI1EN_009290	GZMUPL2EN_006013		GZRHMI1EN_007379	GZRHST1EN_004164			
N11.HOG0000014	OG0000000	n287					GGMULA1EN_001640, GGMULA1EN_006953	GGRHOR1EN_009366, GGRHOR1EN_013255								GZMUCI1EN_007446	GZMUCI2EN_008813	GZMUFR1EN_000764	GZMUHI1EN_008859, GZMUHI1EN_005015	GZMUPL2EN_000590		GZRHMI1EN_008866	GZRHST1EN_000777			
N11.HOG0000015	OG0000000	n310						GGRHOR1EN_004821															GZRHST1EN_012681			
N11.HOG0000016	OG0000000	n315					GGMULA1EN_001794	GGRHOR1EN_004253, GGRHOR1EN_008773								GZMUCI1EN_004256	GZMUCI2EN_010683	GZMUFR1EN_005596	GZMUHI1EN_008232	GZMUPL2EN_005990		GZRHMI1EN_004748	GZRHST1EN_009449, GZRHST1EN_002024			
N11.HOG0000017	OG0000000	n331					GGMULA1EN_008630									GZMUCI1EN_005228	GZMUCI2EN_004610	GZMUFR1EN_007746	GZMUHI1EN_004197	GZMUPL2EN_003541						
N11.HOG0000018	OG0000000	n343					GGMULA1EN_010379	GGRHOR1EN_000328, GGRHOR1EN_000879								GZMUCI1EN_005274	GZMUCI2EN_004565	GZMUFR1EN_007707	GZMUHI1EN_002618	GZMUPL2EN_003404		GZRHMI1EN_008992	GZRHST1EN_009315, GZRHST1EN_009638			
N11.HOG0000019	OG0000000	n359					GGMULA1EN_005582												GZMUHI1EN_001482							
N11.HOG0000020	OG0000000	n363					GGMULA1EN_001365									GZMUCI1EN_000050	GZMUCI2EN_003126	GZMUFR1EN_003076	GZMUHI1EN_005360	GZMUPL2EN_010603						
N11.HOG0000021	OG0000000	n375					GGMULA1EN_004859									GZMUCI1EN_000346		GZMUFR1EN_005095	GZMUHI1EN_010697							
N11.HOG0000022	OG0000000	n397																		GZMUPL2EN_005175						
N11.HOG0000023	OG0000000	n405																	GZMUHI1EN_000493							
N11.HOG0000024	OG0000000	n418																	GZMUHI1EN_003211							
N11.HOG0000025	OG0000000	n432						GGRHOR1EN_000475														GZRHMI1EN_008381	GZRHST1EN_008177			
N11.HOG0000026	OG0000000	n435					GGMULA1EN_007142	GGRHOR1EN_001427, GGRHOR1EN_009942								GZMUCI1EN_003655	GZMUCI2EN_001962	GZMUFR1EN_004137	GZMUHI1EN_007367	GZMUPL2EN_002254		GZRHMI1EN_010048	GZRHST1EN_002719, GZRHST1EN_010206			
N11.HOG0000027	OG0000000	n446					GGMULA1EN_000458	GGRHOR1EN_003308								GZMUCI1EN_003625	GZMUCI2EN_001994	GZMUFR1EN_004077	GZMUHI1EN_005622	GZMUPL2EN_002430		GZRHMI1EN_005660	GZRHST1EN_001078			
N11.HOG0000028	OG0000000	n466					GGMULA1EN_011028									GZMUCI1EN_004782	GZMUCI2EN_005093		GZMUHI1EN_007059							
N11.HOG0000029	OG0000000	n475					GGMULA1EN_006119									GZMUCI1EN_004742	GZMUCI2EN_005054	GZMUFR1EN_009803		GZMUPL2EN_008109						
N11.HOG0000030	OG0000000	n482					GGMULA1EN_009041	GGRHOR1EN_011948								GZMUCI1EN_003055	GZMUCI2EN_002582	GZMUFR1EN_003439	GZMUHI1EN_006430	GZMUPL2EN_006356		GZRHMI1EN_002604	GZRHST1EN_006608, GZRHST1EN_001102			
N11.HOG0000031	OG0000000	n516						GGRHOR1EN_001514														GZRHMI1EN_010120				
N11.HOG0000032	OG0000000	n520					GGMULA1EN_001125	GGRHOR1EN_003003, GGRHOR1EN_009609								GZMUCI1EN_000269	GZMUCI2EN_003325	GZMUFR1EN_011121	GZMUHI1EN_007701	GZMUPL2EN_003321		GZRHMI1EN_008113	GZRHST1EN_007509, GZRHST1EN_002227			
N11.HOG0000033	OG0000000	n538					GGMULA1EN_006159									GZMUCI1EN_005731	GZMUCI2EN_006176	GZMUFR1EN_001798	GZMUHI1EN_007479	GZMUPL2EN_002927						
N11.HOG0000034	OG0000000	n547					GGMULA1EN_006381									GZMUCI1EN_007818	GZMUCI2EN_008579		GZMUHI1EN_000393	GZMUPL2EN_008825						
N11.HOG0000035	OG0000001	n2					GGMULA1EN_002560	GGRHOR1EN_010616, GGRHOR1EN_004602								GZMUCI1EN_009243	GZMUCI2EN_002794	GZMUFR1EN_003316		GZMUPL2EN_002294		GZRHMI1EN_000620	GZRHST1EN_008717, GZRHST1EN_13100			
N11.HOG0000036	OG0000001	n37					GGMULA1EN_002298									GZMUCI1EN_006790	GZMUCI2EN_006879	GZMUFR1EN_000507	GZMUHI1EN_010994	GZMUPL2EN_009180						
N11.HOG0000037	OG0000001	n44					GGMULA1EN_008816, GGMULA1EN_005177	GGRHOR1EN_012525								GZMUCI1EN_006235, GZMUCI1EN_002703	GZMUCI2EN_007413, GZMUCI2EN_003769	GZMUFR1EN_005726, GZMUFR1EN_007438	GZMUHI1EN_004788, GZMUHI1EN_010071	GZMUPL2EN_004940, GZMUPL2EN_004281		GZRHMI1EN_002129	GZRHST1EN_009260, GZRHST1EN_003019			
N11.HOG0000038	OG0000001	n68					GGMULA1EN_001321, GGMULA1EN_001500	GGRHOR1EN_009783								GZMUCI1EN_000139, GZMUCI1EN_007757	GZMUCI2EN_003213, GZMUCI2EN_009010	GZMUFR1EN_002085, GZMUFR1EN_002938	GZMUHI1EN_009133, GZMUHI1EN_004925	GZMUPL2EN_010352, GZMUPL2EN_010538		GZRHMI1EN_009663	GZRHST1EN_000707, GZRHST1EN_012015			
N11.HOG0000039	OG0000001	n101																	GZMUHI1EN_000588							
N11.HOG0000040	OG0000001	n102						GGRHOR1EN_001489, GGRHOR1EN_008098														GZRHMI1EN_008743	GZRHST1EN_008932, GZRHST1EN_002396			
