HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N19.HOG0000000	OG0000000	n14									GZCUBL1EN_007074	GZCUEC1EN_009546														
N19.HOG0000001	OG0000000	n24									GZCUBL1EN_003848	GZCUEC1EN_001221														
N19.HOG0000002	OG0000000	n65									GZCUBL1EN_005979	GZCUEC1EN_006437														
N19.HOG0000003	OG0000000	n111									GZCUBL1EN_005189	GZCUEC1EN_009261														
N19.HOG0000004	OG0000000	n138									GZCUBL1EN_004717	GZCUEC1EN_004608														
N19.HOG0000005	OG0000000	n151									GZCUBL1EN_003303	GZCUEC1EN_001710														
N19.HOG0000006	OG0000000	n177									GZCUBL1EN_005636	GZCUEC1EN_005191														
N19.HOG0000007	OG0000000	n184									GZCUBL1EN_005228	GZCUEC1EN_009292														
N19.HOG0000008	OG0000000	n204									GZCUBL1EN_005382	GZCUEC1EN_005874														
N19.HOG0000009	OG0000000	n231									GZCUBL1EN_002440	GZCUEC1EN_004560														
N19.HOG0000010	OG0000000	n268									GZCUBL1EN_009217	GZCUEC1EN_003588														
N19.HOG0000011	OG0000000	n269									GZCUBL1EN_005238	GZCUEC1EN_009304														
N19.HOG0000012	OG0000000	n287									GZCUBL1EN_001234	GZCUEC1EN_008345														
N19.HOG0000013	OG0000000	n343									GZCUBL1EN_002818	GZCUEC1EN_003105														
N19.HOG0000014	OG0000000	n375									GZCUBL1EN_008588	GZCUEC1EN_005520														
N19.HOG0000015	OG0000000	n418									GZCUBL1EN_005610	GZCUEC1EN_005245														
