HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N22.HOG0000000	OG0000000	n24														GZMUCI1EN_005454	GZMUCI2EN_005516									
N22.HOG0000001	OG0000000	n50														GZMUCI1EN_006520	GZMUCI2EN_007130									
N22.HOG0000002	OG0000000	n55														GZMUCI1EN_001511	GZMUCI2EN_000176									
N22.HOG0000003	OG0000000	n65														GZMUCI1EN_006394	GZMUCI2EN_007251									
N22.HOG0000004	OG0000000	n115														GZMUCI1EN_005698	GZMUCI2EN_006143									
N22.HOG0000005	OG0000000	n120														GZMUCI1EN_002674	GZMUCI2EN_003798									
N22.HOG0000006	OG0000000	n138														GZMUCI1EN_003340	GZMUCI2EN_002287									
N22.HOG0000007	OG0000000	n157														GZMUCI1EN_004732	GZMUCI2EN_005044									
N22.HOG0000008	OG0000000	n167														GZMUCI1EN_011171	GZMUCI2EN_011253									
N22.HOG0000009	OG0000000	n184														GZMUCI1EN_011000	GZMUCI2EN_005784									
N22.HOG0000010	OG0000000	n210														GZMUCI1EN_007854	GZMUCI2EN_008442									
N22.HOG0000011	OG0000000	n225														GZMUCI1EN_000134	GZMUCI2EN_003208									
N22.HOG0000012	OG0000000	n238														GZMUCI1EN_000993	GZMUCI2EN_000898									
N22.HOG0000013	OG0000000	n248														GZMUCI1EN_011013	GZMUCI2EN_005797									
N22.HOG0000014	OG0000000	n271														GZMUCI1EN_001953	GZMUCI2EN_009961									
N22.HOG0000015	OG0000000	n293														GZMUCI1EN_007446	GZMUCI2EN_008813									
N22.HOG0000016	OG0000000	n315														GZMUCI1EN_004256	GZMUCI2EN_010683									
N22.HOG0000017	OG0000000	n331														GZMUCI1EN_005228	GZMUCI2EN_004610									
N22.HOG0000018	OG0000000	n343														GZMUCI1EN_005274	GZMUCI2EN_004565									
N22.HOG0000019	OG0000000	n363														GZMUCI1EN_000050	GZMUCI2EN_003126									
N22.HOG0000020	OG0000000	n375														GZMUCI1EN_000346										
