HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N17.HOG0000000	OG0000000	n24					GGMULA1EN_008598									GZMUCI1EN_005454	GZMUCI2EN_005516	GZMUFR1EN_010141		GZMUPL2EN_007906						
N17.HOG0000001	OG0000000	n50					GGMULA1EN_000691									GZMUCI1EN_006520	GZMUCI2EN_007130	GZMUFR1EN_000872		GZMUPL2EN_008650						
N17.HOG0000002	OG0000000	n55					GGMULA1EN_000990									GZMUCI1EN_001511	GZMUCI2EN_000176	GZMUFR1EN_008551		GZMUPL2EN_006833						
N17.HOG0000003	OG0000000	n65					GGMULA1EN_007452									GZMUCI1EN_006394	GZMUCI2EN_007251	GZMUFR1EN_001460		GZMUPL2EN_009214						
N17.HOG0000004	OG0000000	n82																		GZMUPL2EN_008210						
N17.HOG0000005	OG0000000	n115					GGMULA1EN_001958									GZMUCI1EN_005698	GZMUCI2EN_006143	GZMUFR1EN_002636		GZMUPL2EN_002648						
N17.HOG0000006	OG0000000	n120					GGMULA1EN_003830									GZMUCI1EN_002674	GZMUCI2EN_003798			GZMUPL2EN_003889						
N17.HOG0000007	OG0000000	n138					GGMULA1EN_007797									GZMUCI1EN_003340	GZMUCI2EN_002287	GZMUFR1EN_003766		GZMUPL2EN_007014						
N17.HOG0000008	OG0000000	n157					GGMULA1EN_006125									GZMUCI1EN_004732	GZMUCI2EN_005044	GZMUFR1EN_009793		GZMUPL2EN_008119						
N17.HOG0000009	OG0000000	n167					GGMULA1EN_003642									GZMUCI1EN_011171	GZMUCI2EN_011253	GZMUFR1EN_001406		GZMUPL2EN_000566						
N17.HOG0000010	OG0000000	n184														GZMUCI1EN_011000	GZMUCI2EN_005784			GZMUPL2EN_003840						
N17.HOG0000011	OG0000000	n210					GGMULA1EN_002316									GZMUCI1EN_007854	GZMUCI2EN_008442	GZMUFR1EN_001081		GZMUPL2EN_009263						
N17.HOG0000012	OG0000000	n225														GZMUCI1EN_000134	GZMUCI2EN_003208	GZMUFR1EN_002326		GZMUPL2EN_010343						
N17.HOG0000013	OG0000000	n238					GGMULA1EN_008167									GZMUCI1EN_000993	GZMUCI2EN_000898	GZMUFR1EN_005804		GZMUPL2EN_004885						
N17.HOG0000014	OG0000000	n248					GGMULA1EN_010922									GZMUCI1EN_011013	GZMUCI2EN_005797	GZMUFR1EN_007141, GZMUFR1EN_007949		GZMUPL2EN_003856						
N17.HOG0000015	OG0000000	n271					GGMULA1EN_000006									GZMUCI1EN_001953	GZMUCI2EN_009961	GZMUFR1EN_004587		GZMUPL2EN_006013						
N17.HOG0000016	OG0000000	n293					GGMULA1EN_001640									GZMUCI1EN_007446	GZMUCI2EN_008813	GZMUFR1EN_000764		GZMUPL2EN_000590						
N17.HOG0000017	OG0000000	n308					GGMULA1EN_006953																			
N17.HOG0000018	OG0000000	n315					GGMULA1EN_001794									GZMUCI1EN_004256	GZMUCI2EN_010683	GZMUFR1EN_005596		GZMUPL2EN_005990						
N17.HOG0000019	OG0000000	n331					GGMULA1EN_008630									GZMUCI1EN_005228	GZMUCI2EN_004610	GZMUFR1EN_007746		GZMUPL2EN_003541						
N17.HOG0000020	OG0000000	n343					GGMULA1EN_010379									GZMUCI1EN_005274	GZMUCI2EN_004565	GZMUFR1EN_007707		GZMUPL2EN_003404						
N17.HOG0000021	OG0000000	n359					GGMULA1EN_005582																			
N17.HOG0000022	OG0000000	n363					GGMULA1EN_001365									GZMUCI1EN_000050	GZMUCI2EN_003126	GZMUFR1EN_003076		GZMUPL2EN_010603						
N17.HOG0000023	OG0000000	n375					GGMULA1EN_004859									GZMUCI1EN_000346		GZMUFR1EN_005095								
N17.HOG0000024	OG0000000	n397																		GZMUPL2EN_005175						
N17.HOG0000025	OG0000000	n435					GGMULA1EN_007142									GZMUCI1EN_003655	GZMUCI2EN_001962	GZMUFR1EN_004137		GZMUPL2EN_002254						
N17.HOG0000026	OG0000000	n446					GGMULA1EN_000458									GZMUCI1EN_003625	GZMUCI2EN_001994	GZMUFR1EN_004077		GZMUPL2EN_002430						
N17.HOG0000027	OG0000000	n466					GGMULA1EN_011028									GZMUCI1EN_004782	GZMUCI2EN_005093									
N17.HOG0000028	OG0000000	n475					GGMULA1EN_006119									GZMUCI1EN_004742	GZMUCI2EN_005054	GZMUFR1EN_009803		GZMUPL2EN_008109						
N17.HOG0000029	OG0000000	n482					GGMULA1EN_009041									GZMUCI1EN_003055	GZMUCI2EN_002582	GZMUFR1EN_003439		GZMUPL2EN_006356						
N17.HOG0000030	OG0000000	n520					GGMULA1EN_001125									GZMUCI1EN_000269	GZMUCI2EN_003325	GZMUFR1EN_011121		GZMUPL2EN_003321						
N17.HOG0000031	OG0000000	n538					GGMULA1EN_006159									GZMUCI1EN_005731	GZMUCI2EN_006176	GZMUFR1EN_001798		GZMUPL2EN_002927						
N17.HOG0000032	OG0000000	n547					GGMULA1EN_006381									GZMUCI1EN_007818	GZMUCI2EN_008579			GZMUPL2EN_008825						
N17.HOG0000033	OG0000001	n2					GGMULA1EN_002560									GZMUCI1EN_009243	GZMUCI2EN_002794	GZMUFR1EN_003316		GZMUPL2EN_002294						
N17.HOG0000034	OG0000001	n37					GGMULA1EN_002298									GZMUCI1EN_006790	GZMUCI2EN_006879	GZMUFR1EN_000507		GZMUPL2EN_009180						
N17.HOG0000035	OG0000001	n49					GGMULA1EN_008816									GZMUCI1EN_006235	GZMUCI2EN_007413	GZMUFR1EN_005726		GZMUPL2EN_004940						
N17.HOG0000036	OG0000001	n54					GGMULA1EN_005177									GZMUCI1EN_002703	GZMUCI2EN_003769	GZMUFR1EN_007438		GZMUPL2EN_004281						
N17.HOG0000037	OG0000001	n70					GGMULA1EN_001321									GZMUCI1EN_000139	GZMUCI2EN_003213	GZMUFR1EN_002085		GZMUPL2EN_010352						
N17.HOG0000038	OG0000001	n75					GGMULA1EN_001500									GZMUCI1EN_007757	GZMUCI2EN_009010	GZMUFR1EN_002938		GZMUPL2EN_010538						
N17.HOG0000039	OG0000001	n122					GGMULA1EN_002030									GZMUCI1EN_005087	GZMUCI2EN_004761	GZMUFR1EN_009532		GZMUPL2EN_008216						
N17.HOG0000040	OG0000001	n142					GGMULA1EN_001787									GZMUCI1EN_004273	GZMUCI2EN_010670	GZMUFR1EN_005622		GZMUPL2EN_005760						
