HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N7.HOG0000000	OG0000000	n20																						GZUMIS1EN_008688	GZUMRA1EN_009079	GZUMVI1EN_004404
N7.HOG0000001	OG0000000	n78																						GZUMIS1EN_005672	GZUMRA1EN_003502	GZUMVI1EN_002958
N7.HOG0000002	OG0000000	n80																						GZUMIS1EN_008274	GZUMRA1EN_005005	GZUMVI1EN_004187
N7.HOG0000003	OG0000000	n132																						GZUMIS1EN_001549	GZUMRA1EN_004173	GZUMVI1EN_009136, GZUMVI1EN_000670
N7.HOG0000004	OG0000000	n135																						GZUMIS1EN_004194	GZUMRA1EN_001943	GZUMVI1EN_001830
N7.HOG0000005	OG0000000	n151																						GZUMIS1EN_003957	GZUMRA1EN_007740	GZUMVI1EN_009466
N7.HOG0000006	OG0000000	n177																						GZUMIS1EN_001235	GZUMRA1EN_002030	GZUMVI1EN_001902
N7.HOG0000007	OG0000000	n271																						GZUMIS1EN_001561	GZUMRA1EN_004206	GZUMVI1EN_009047
N7.HOG0000008	OG0000000	n287																						GZUMIS1EN_006217	GZUMRA1EN_002906	GZUMVI1EN_000436
N7.HOG0000009	OG0000000	n315																						GZUMIS1EN_000131	GZUMRA1EN_000456	GZUMVI1EN_001201
N7.HOG0000010	OG0000000	n330																						GZUMIS1EN_003869	GZUMRA1EN_007635	GZUMVI1EN_009549
N7.HOG0000011	OG0000000	n359																						GZUMIS1EN_000980	GZUMRA1EN_003130	GZUMVI1EN_003531
N7.HOG0000012	OG0000000	n375																						GZUMIS1EN_000404	GZUMRA1EN_006632	GZUMVI1EN_007190
N7.HOG0000013	OG0000000	n397																							GZUMRA1EN_007007	
N7.HOG0000014	OG0000000	n425																						GZUMIS1EN_001149	GZUMRA1EN_001667	GZUMVI1EN_006326
N7.HOG0000015	OG0000000	n511																						GZUMIS1EN_006225, GZUMIS1EN_009424	GZUMRA1EN_002898	GZUMVI1EN_000444
N7.HOG0000016	OG0000000	n554																						GZUMIS1EN_001621		GZUMVI1EN_009181
N7.HOG0000017	OG0000000	n557																						GZUMIS1EN_004999	GZUMRA1EN_002528	GZUMVI1EN_004744
N7.HOG0000018	OG0000001	n2																						GZUMIS1EN_000182	GZUMRA1EN_000512	GZUMVI1EN_001144
N7.HOG0000019	OG0000001	n61																								GZUMVI1EN_007650
N7.HOG0000020	OG0000001	n63																							GZUMRA1EN_008379	GZUMVI1EN_007936
N7.HOG0000021	OG0000001	n68																						GZUMIS1EN_006659	GZUMRA1EN_008265	GZUMVI1EN_007651
N7.HOG0000022	OG0000001	n110																						GZUMIS1EN_006483	GZUMRA1EN_008356	GZUMVI1EN_007912
N7.HOG0000023	OG0000001	n113																						GZUMIS1EN_009223	GZUMRA1EN_008662	GZUMVI1EN_005860
N7.HOG0000024	OG0000001	n195																						GZUMIS1EN_009122	GZUMRA1EN_003438	GZUMVI1EN_003011
N7.HOG0000025	OG0000001	n217																						GZUMIS1EN_004260	GZUMRA1EN_002015	GZUMVI1EN_001765
N7.HOG0000026	OG0000001	n266																						GZUMIS1EN_003291	GZUMRA1EN_006187	GZUMVI1EN_000046
N7.HOG0000027	OG0000001	n268																						GZUMIS1EN_001641	GZUMRA1EN_004120	GZUMVI1EN_009200
N7.HOG0000028	OG0000001	n327																						GZUMIS1EN_008189	GZUMRA1EN_005055	GZUMVI1EN_008199
N7.HOG0000029	OG0000001	n363																						GZUMIS1EN_009037	GZUMRA1EN_002820	GZUMVI1EN_008508
N7.HOG0000030	OG0000001	n376																						GZUMIS1EN_005165	GZUMRA1EN_004703	GZUMVI1EN_003144
N7.HOG0000031	OG0000002	n32																						GZUMIS1EN_008806	GZUMRA1EN_006300	GZUMVI1EN_000337
N7.HOG0000032	OG0000002	n62																						GZUMIS1EN_006205	GZUMRA1EN_002916	GZUMVI1EN_000425
N7.HOG0000033	OG0000002	n85																						GZUMIS1EN_001105	GZUMRA1EN_003014	GZUMVI1EN_000857
N7.HOG0000034	OG0000002	n112																						GZUMIS1EN_006403	GZUMRA1EN_008391	GZUMVI1EN_007948
N7.HOG0000035	OG0000002	n114																						GZUMIS1EN_004146	GZUMRA1EN_001917	GZUMVI1EN_001868
N7.HOG0000036	OG0000002	n189																						GZUMIS1EN_003809	GZUMRA1EN_007592	GZUMVI1EN_005704
N7.HOG0000037	OG0000002	n217																						GZUMIS1EN_005874	GZUMRA1EN_007321	GZUMVI1EN_000574
N7.HOG0000038	OG0000002	n236																						GZUMIS1EN_006608, GZUMIS1EN_006607	GZUMRA1EN_008058	GZUMVI1EN_000139
N7.HOG0000039	OG0000002	n289																						GZUMIS1EN_007589	GZUMRA1EN_005338	GZUMVI1EN_004044
N7.HOG0000040	OG0000002	n291																						GZUMIS1EN_007692	GZUMRA1EN_003961	GZUMVI1EN_008827
N7.HOG0000041	OG0000002	n324																						GZUMIS1EN_000807	GZUMRA1EN_002991	GZUMVI1EN_000876
N7.HOG0000042	OG0000003	n3																						GZUMIS1EN_003541		GZUMVI1EN_001710
N7.HOG0000043	OG0000003	n35																						GZUMIS1EN_002705	GZUMRA1EN_007833	GZUMVI1EN_005112
N7.HOG0000044	OG0000003	n96																						GZUMIS1EN_008377	GZUMRA1EN_006238	GZUMVI1EN_008996
N7.HOG0000045	OG0000003	n98																						GZUMIS1EN_005244	GZUMRA1EN_000813, GZUMRA1EN_000812	GZUMVI1EN_005299, GZUMVI1EN_005300
N7.HOG0000046	OG0000003	n104																						GZUMIS1EN_001596	GZUMRA1EN_004226	GZUMVI1EN_009083
N7.HOG0000047	OG0000003	n106																						GZUMIS1EN_001598	GZUMRA1EN_004228	GZUMVI1EN_009084, GZUMVI1EN_005554
N7.HOG0000048	OG0000003	n232																						GZUMIS1EN_004948	GZUMRA1EN_002581	GZUMVI1EN_004799
N7.HOG0000049	OG0000004	n26																						GZUMIS1EN_003503, GZUMIS1EN_004002	GZUMRA1EN_003223	GZUMVI1EN_003429
N7.HOG0000050	OG0000004	n30																						GZUMIS1EN_000100	GZUMRA1EN_000424	GZUMVI1EN_001231
N7.HOG0000051	OG0000004	n45																							GZUMRA1EN_008677	GZUMVI1EN_006398
N7.HOG0000052	OG0000004	n136																								GZUMVI1EN_006462
