HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N1.HOG0000000	OG0000000	n2	ANIA_05003		YPL230W, YMR182C																					
N1.HOG0000001	OG0000000	n82	ANIA_01251																							
N1.HOG0000002	OG0000000	n97	ANIA_06195		YGL035C																					
N1.HOG0000003	OG0000000	n184			YER028C, YGL209W																					
N1.HOG0000004	OG0000000	n219	ANIA_02421		YPR015C, YPR013C																					
N1.HOG0000005	OG0000000	n375	ANIA_08741																							
N1.HOG0000006	OG0000000	n397			YPR186C																					
N1.HOG0000007	OG0000000	n418			YMR070W																					
N1.HOG0000008	OG0000000	n425	ANIA_01997		YPL038W																					
N1.HOG0000009	OG0000000	n493	ANIA_05966																							
N1.HOG0000010	OG0000000	n494	ANIA_04720		YGR067C																					
N1.HOG0000011	OG0000001	n2	ANIA_08667																							
N1.HOG0000012	OG0000001	n31	ANIA_06221		YKR034W, YJL110C																					
N1.HOG0000013	OG0000001	n108			YER040W																					
N1.HOG0000014	OG0000001	n183	ANIA_00176		YFL021W																					
N1.HOG0000015	OG0000002	n4			YCR097W																					
N1.HOG0000016	OG0000002	n6			YDL106C																					
N1.HOG0000017	OG0000002	n96			YML027W, YDR451C																					
N1.HOG0000018	OG0000002	n180	ANIA_02009																							
N1.HOG0000019	OG0000003	n7	ANIA_03658		YKL221W																					
N1.HOG0000020	OG0000003	n8	ANIA_00382		YNL125C																					
N1.HOG0000021	OG0000003	n15	ANIA_03997, ANIA_06429, ANIA_08413, ANIA_08366, ANIA_07898, ANIA_00528, ANIA_02746, ANIA_08995, ANIA_11092, ANIA_08934, ANIA_10410, ANIA_03722, ANIA_07021, ANIA_08507, ANIA_04481, ANIA_02840, ANIA_09333, ANIA_04098, ANIA_02358		YOR306C, YOL119C																					
N1.HOG0000022	OG0000003	n35	ANIA_08789																							
N1.HOG0000023	OG0000004	n1	ANIA_02607, ANIA_02706		YDR402C																					
N1.HOG0000024	OG0000004	n257	ANIA_09030																							
N1.HOG0000025	OG0000006	n6	ANIA_04379																							
N1.HOG0000026	OG0000006	n7	ANIA_07735																							
