HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N12.HOG0000000	OG0000000	n14									GZCUBL1EN_007074	GZCUEC1EN_009546														
N12.HOG0000001	OG0000000	n16							GZABCY1EN_000630, GZABCY1EN_009747	GZABGL1EN_010107, GZABGL1EN_009951																
N12.HOG0000002	OG0000000	n24							GZABCY1EN_010724	GZABGL1EN_004134, GZABGL1EN_007361	GZCUBL1EN_003848	GZCUEC1EN_001221														
N12.HOG0000003	OG0000000	n43							GZABCY1EN_013970	GZABGL1EN_008586, GZABGL1EN_013535																
N12.HOG0000004	OG0000000	n65							GZABCY1EN_000055, GZABCY1EN_000056	GZABGL1EN_004701	GZCUBL1EN_005979	GZCUEC1EN_006437	GZLICO1EN_000968													
N12.HOG0000005	OG0000000	n82							GZABCY1EN_000202																	
N12.HOG0000006	OG0000000	n90							GZABCY1EN_002084, GZABCY1EN_009027	GZABGL1EN_004987, GZABGL1EN_013917			GZLICO1EN_009089													
N12.HOG0000007	OG0000000	n111							GZABCY1EN_006008	GZABGL1EN_005194, GZABGL1EN_007761	GZCUBL1EN_005189	GZCUEC1EN_009261	GZLICO1EN_007240													
N12.HOG0000008	OG0000000	n138							GZABCY1EN_011669	GZABGL1EN_014144	GZCUBL1EN_004717	GZCUEC1EN_004608														
N12.HOG0000009	OG0000000	n151							GZABCY1EN_013573, GZABCY1EN_010807	GZABGL1EN_008264, GZABGL1EN_009139	GZCUBL1EN_003303	GZCUEC1EN_001710	GZLICO1EN_000386													
N12.HOG0000010	OG0000000	n177							GZABCY1EN_007002	GZABGL1EN_007534	GZCUBL1EN_005636	GZCUEC1EN_005191	GZLICO1EN_009135													
N12.HOG0000011	OG0000000	n184							GZABCY1EN_001500	GZABGL1EN_004916, GZABGL1EN_008665	GZCUBL1EN_005228	GZCUEC1EN_009292														
N12.HOG0000012	OG0000000	n204							GZABCY1EN_004122, GZABCY1EN_003171	GZABGL1EN_009369, GZABGL1EN_013696	GZCUBL1EN_005382	GZCUEC1EN_005874														
N12.HOG0000013	OG0000000	n210								GZABGL1EN_003271																
N12.HOG0000014	OG0000000	n225											GZLICO1EN_005472													
N12.HOG0000015	OG0000000	n231							GZABCY1EN_005825, GZABCY1EN_002169	GZABGL1EN_006868	GZCUBL1EN_002440	GZCUEC1EN_004560	GZLICO1EN_012327													
N12.HOG0000016	OG0000000	n260							GZABCY1EN_001281, GZABCY1EN_012431	GZABGL1EN_004170, GZABGL1EN_015261	GZCUBL1EN_009217, GZCUBL1EN_005238	GZCUEC1EN_003588, GZCUEC1EN_009304	GZLICO1EN_010114, GZLICO1EN_004576, GZLICO1EN_009464													
N12.HOG0000017	OG0000000	n271							GZABCY1EN_000740, GZABCY1EN_004865	GZABGL1EN_010197, GZABGL1EN_011655			GZLICO1EN_010587													
N12.HOG0000018	OG0000000	n287							GZABCY1EN_003379, GZABCY1EN_008497	GZABGL1EN_006390, GZABGL1EN_010124	GZCUBL1EN_001234	GZCUEC1EN_008345	GZLICO1EN_000174, GZLICO1EN_008113													
N12.HOG0000019	OG0000000	n310											GZLICO1EN_001222													
N12.HOG0000020	OG0000000	n315											GZLICO1EN_004010, GZLICO1EN_012102													
N12.HOG0000021	OG0000000	n331							GZABCY1EN_004968, GZABCY1EN_006268	GZABGL1EN_013586			GZLICO1EN_004277													
N12.HOG0000022	OG0000000	n343							GZABCY1EN_009215, GZABCY1EN_007705	GZABGL1EN_009718, GZABGL1EN_006224	GZCUBL1EN_002818	GZCUEC1EN_003105														
N12.HOG0000023	OG0000000	n363											GZLICO1EN_000561, GZLICO1EN_005236													
N12.HOG0000024	OG0000000	n375							GZABCY1EN_014223, GZABCY1EN_014402	GZABGL1EN_008639, GZABGL1EN_007661	GZCUBL1EN_008588	GZCUEC1EN_005520	GZLICO1EN_007544													
N12.HOG0000025	OG0000000	n390								GZABGL1EN_010821			GZLICO1EN_011066													
N12.HOG0000026	OG0000000	n397											GZLICO1EN_005044													
N12.HOG0000027	OG0000000	n418									GZCUBL1EN_005610	GZCUEC1EN_005245														
