HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N8.HOG0000000	OG0000000	n14									GZCUBL1EN_007074	GZCUEC1EN_009546														
N8.HOG0000001	OG0000000	n16							GZABCY1EN_000630, GZABCY1EN_009747	GZABGL1EN_010107, GZABGL1EN_009951																
N8.HOG0000002	OG0000000	n24					GGMULA1EN_008598	GGRHOR1EN_005718, GGRHOR1EN_000999, GGRHOR1EN_003096, GGRHOR1EN_005369	GZABCY1EN_010724	GZABGL1EN_004134, GZABGL1EN_007361	GZCUBL1EN_003848	GZCUEC1EN_001221				GZMUCI1EN_005454	GZMUCI2EN_005516	GZMUFR1EN_010141	GZMUHI1EN_003838	GZMUPL2EN_007906		GZRHMI1EN_009360, GZRHMI1EN_006249	GZRHST1EN_002978, GZRHST1EN_007559, GZRHST1EN_010609			
N8.HOG0000003	OG0000000	n43						GGRHOR1EN_011492	GZABCY1EN_013970	GZABGL1EN_008586, GZABGL1EN_013535												GZRHMI1EN_005750	GZRHST1EN_006827			
N8.HOG0000004	OG0000000	n48					GGMULA1EN_000691, GGMULA1EN_000990	GGRHOR1EN_000535, GGRHOR1EN_008541								GZMUCI1EN_006520, GZMUCI1EN_001511	GZMUCI2EN_007130, GZMUCI2EN_000176	GZMUFR1EN_000872, GZMUFR1EN_008551	GZMUHI1EN_010935, GZMUHI1EN_001693	GZMUPL2EN_008650, GZMUPL2EN_006833		GZRHMI1EN_008364	GZRHST1EN_003002			
N8.HOG0000005	OG0000000	n65					GGMULA1EN_007452		GZABCY1EN_000055, GZABCY1EN_000056	GZABGL1EN_004701	GZCUBL1EN_005979	GZCUEC1EN_006437	GZLICO1EN_000968			GZMUCI1EN_006394	GZMUCI2EN_007251	GZMUFR1EN_001460	GZMUHI1EN_006036	GZMUPL2EN_009214						
N8.HOG0000006	OG0000000	n82						GGRHOR1EN_012655, GGRHOR1EN_012483	GZABCY1EN_000202											GZMUPL2EN_008210		GZRHMI1EN_001067	GZRHST1EN_009533			
N8.HOG0000007	OG0000000	n90							GZABCY1EN_002084, GZABCY1EN_009027	GZABGL1EN_004987, GZABGL1EN_013917			GZLICO1EN_009089													
N8.HOG0000008	OG0000000	n111					GGMULA1EN_001958, GGMULA1EN_003830	GGRHOR1EN_001099	GZABCY1EN_006008	GZABGL1EN_005194, GZABGL1EN_007761	GZCUBL1EN_005189	GZCUEC1EN_009261	GZLICO1EN_007240			GZMUCI1EN_005698, GZMUCI1EN_002674	GZMUCI2EN_006143, GZMUCI2EN_003798	GZMUFR1EN_002636	GZMUHI1EN_000646, GZMUHI1EN_003319	GZMUPL2EN_002648, GZMUPL2EN_003889		GZRHMI1EN_010163	GZRHST1EN_007662			
N8.HOG0000009	OG0000000	n138					GGMULA1EN_007797	GGRHOR1EN_006870, GGRHOR1EN_008253	GZABCY1EN_011669	GZABGL1EN_014144	GZCUBL1EN_004717	GZCUEC1EN_004608				GZMUCI1EN_003340	GZMUCI2EN_002287	GZMUFR1EN_003766		GZMUPL2EN_007014		GZRHMI1EN_008391	GZRHST1EN_003752			
N8.HOG0000010	OG0000000	n151					GGMULA1EN_006125, GGMULA1EN_003642	GGRHOR1EN_013833, GGRHOR1EN_005561	GZABCY1EN_013573, GZABCY1EN_010807	GZABGL1EN_008264, GZABGL1EN_009139	GZCUBL1EN_003303	GZCUEC1EN_001710	GZLICO1EN_000386			GZMUCI1EN_004732, GZMUCI1EN_011171	GZMUCI2EN_005044, GZMUCI2EN_011253	GZMUFR1EN_009793, GZMUFR1EN_001406	GZMUHI1EN_011961, GZMUHI1EN_006285	GZMUPL2EN_008119, GZMUPL2EN_000566		GZRHMI1EN_009210	GZRHST1EN_005001, GZRHST1EN_011791			
N8.HOG0000011	OG0000000	n177							GZABCY1EN_007002	GZABGL1EN_007534	GZCUBL1EN_005636	GZCUEC1EN_005191	GZLICO1EN_009135													
N8.HOG0000012	OG0000000	n184						GGRHOR1EN_009504, GGRHOR1EN_007114	GZABCY1EN_001500	GZABGL1EN_004916, GZABGL1EN_008665	GZCUBL1EN_005228	GZCUEC1EN_009292				GZMUCI1EN_011000	GZMUCI2EN_005784		GZMUHI1EN_000230	GZMUPL2EN_003840		GZRHMI1EN_001931	GZRHST1EN_008056, GZRHST1EN_011655			
N8.HOG0000013	OG0000000	n204							GZABCY1EN_004122, GZABCY1EN_003171	GZABGL1EN_009369, GZABGL1EN_013696	GZCUBL1EN_005382	GZCUEC1EN_005874														
N8.HOG0000014	OG0000000	n210					GGMULA1EN_002316	GGRHOR1EN_009717		GZABGL1EN_003271						GZMUCI1EN_007854	GZMUCI2EN_008442	GZMUFR1EN_001081	GZMUHI1EN_011224	GZMUPL2EN_009263		GZRHMI1EN_003777				
N8.HOG0000015	OG0000000	n225											GZLICO1EN_005472			GZMUCI1EN_000134	GZMUCI2EN_003208	GZMUFR1EN_002326		GZMUPL2EN_010343						
N8.HOG0000016	OG0000000	n230					GGMULA1EN_008167, GGMULA1EN_010922	GGRHOR1EN_013363, GGRHOR1EN_007745, GGRHOR1EN_004156, GGRHOR1EN_006581	GZABCY1EN_005825, GZABCY1EN_002169, GZABCY1EN_001281, GZABCY1EN_012431	GZABGL1EN_006868, GZABGL1EN_004170, GZABGL1EN_015261	GZCUBL1EN_002440, GZCUBL1EN_009217, GZCUBL1EN_005238	GZCUEC1EN_004560, GZCUEC1EN_003588, GZCUEC1EN_009304	GZLICO1EN_012327, GZLICO1EN_010114, GZLICO1EN_004576, GZLICO1EN_009464			GZMUCI1EN_000993, GZMUCI1EN_011013	GZMUCI2EN_000898, GZMUCI2EN_005797	GZMUFR1EN_005804, GZMUFR1EN_007141, GZMUFR1EN_007949	GZMUHI1EN_011259, GZMUHI1EN_001851	GZMUPL2EN_004885, GZMUPL2EN_003856		GZRHMI1EN_000988, GZRHMI1EN_006976, GZRHMI1EN_006147	GZRHST1EN_002676, GZRHST1EN_012406, GZRHST1EN_001963, GZRHST1EN_008381			
N8.HOG0000017	OG0000000	n271					GGMULA1EN_000006	GGRHOR1EN_004657	GZABCY1EN_000740, GZABCY1EN_004865	GZABGL1EN_010197, GZABGL1EN_011655			GZLICO1EN_010587			GZMUCI1EN_001953	GZMUCI2EN_009961	GZMUFR1EN_004587	GZMUHI1EN_009290	GZMUPL2EN_006013		GZRHMI1EN_007379	GZRHST1EN_004164			
N8.HOG0000018	OG0000000	n287					GGMULA1EN_001640, GGMULA1EN_006953	GGRHOR1EN_009366, GGRHOR1EN_013255	GZABCY1EN_003379, GZABCY1EN_008497	GZABGL1EN_006390, GZABGL1EN_010124	GZCUBL1EN_001234	GZCUEC1EN_008345	GZLICO1EN_000174, GZLICO1EN_008113			GZMUCI1EN_007446	GZMUCI2EN_008813	GZMUFR1EN_000764	GZMUHI1EN_008859, GZMUHI1EN_005015	GZMUPL2EN_000590		GZRHMI1EN_008866	GZRHST1EN_000777			
N8.HOG0000019	OG0000000	n310						GGRHOR1EN_004821					GZLICO1EN_001222										GZRHST1EN_012681			
N8.HOG0000020	OG0000000	n315					GGMULA1EN_001794	GGRHOR1EN_004253, GGRHOR1EN_008773					GZLICO1EN_004010, GZLICO1EN_012102			GZMUCI1EN_004256	GZMUCI2EN_010683	GZMUFR1EN_005596	GZMUHI1EN_008232	GZMUPL2EN_005990		GZRHMI1EN_004748	GZRHST1EN_009449, GZRHST1EN_002024			
