HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N6.HOG0000000	OG0000000	n7				GGMOZO1EN_008077								GZLIHY1EN_008149	GZMOAL1EN_003054											
N6.HOG0000001	OG0000000	n10				GGMOZO1EN_001786								GZLIHY1EN_002982	GZMOAL1EN_000875											
N6.HOG0000002	OG0000000	n100				GGMOZO1EN_000154								GZLIHY1EN_001216	GZMOAL1EN_007201											
N6.HOG0000003	OG0000000	n103				GGMOZO1EN_003935								GZLIHY1EN_004650	GZMOAL1EN_005256											
N6.HOG0000004	OG0000000	n309				GGMOZO1EN_009404								GZLIHY1EN_009325	GZMOAL1EN_009206											
N6.HOG0000005	OG0000000	n390				GGMOZO1EN_000613																				
N6.HOG0000006	OG0000000	n404													GZMOAL1EN_000562											
N6.HOG0000007	OG0000000	n410				GGMOZO1EN_002205								GZLIHY1EN_003394	GZMOAL1EN_001912											
N6.HOG0000008	OG0000000	n413				GGMOZO1EN_010153								GZLIHY1EN_010369	GZMOAL1EN_007774											
N6.HOG0000009	OG0000000	n557				GGMOZO1EN_010760								GZLIHY1EN_010718												
N6.HOG0000010	OG0000001	n2				GGMOZO1EN_010391								GZLIHY1EN_010125	GZMOAL1EN_007941											
N6.HOG0000011	OG0000001	n31				GGMOZO1EN_002320								GZLIHY1EN_003513	GZMOAL1EN_001551											
N6.HOG0000012	OG0000001	n113				GGMOZO1EN_006498								GZLIHY1EN_006959	GZMOAL1EN_005740											
N6.HOG0000013	OG0000001	n246				GGMOZO1EN_002696								GZLIHY1EN_003898	GZMOAL1EN_001470											
N6.HOG0000014	OG0000001	n249				GGMOZO1EN_005462								GZLIHY1EN_005162	GZMOAL1EN_000339											
N6.HOG0000015	OG0000001	n259				GGMOZO1EN_001157								GZLIHY1EN_000196	GZMOAL1EN_004524											
N6.HOG0000016	OG0000001	n262													GZMOAL1EN_008067											
N6.HOG0000017	OG0000001	n327				GGMOZO1EN_002750								GZLIHY1EN_003957	GZMOAL1EN_000401											
N6.HOG0000018	OG0000001	n391				GGMOZO1EN_008828								GZLIHY1EN_008520	GZMOAL1EN_010515											
N6.HOG0000019	OG0000001	n393				GGMOZO1EN_012580								GZLIHY1EN_012581	GZMOAL1EN_010711											
N6.HOG0000020	OG0000001	n395				GGMOZO1EN_008850								GZLIHY1EN_008497	GZMOAL1EN_010580											
N6.HOG0000021	OG0000002	n26				GGMOZO1EN_011119								GZLIHY1EN_011475	GZMOAL1EN_010922											
N6.HOG0000022	OG0000002	n90													GZMOAL1EN_008308											
N6.HOG0000023	OG0000002	n91				GGMOZO1EN_010712								GZLIHY1EN_010671	GZMOAL1EN_009319											
N6.HOG0000024	OG0000002	n101													GZMOAL1EN_009076											
N6.HOG0000025	OG0000002	n102				GGMOZO1EN_007559								GZLIHY1EN_002198	GZMOAL1EN_008559											
N6.HOG0000026	OG0000002	n189				GGMOZO1EN_000087								GZLIHY1EN_001284	GZMOAL1EN_007263											
N6.HOG0000027	OG0000002	n282				GGMOZO1EN_004711								GZLIHY1EN_006097	GZMOAL1EN_003756											
N6.HOG0000028	OG0000003	n3												GZLIHY1EN_002031												
N6.HOG0000029	OG0000003	n62				GGMOZO1EN_003151								GZLIHY1EN_009741												
N6.HOG0000030	OG0000003	n65												GZLIHY1EN_005001	GZMOAL1EN_007489											
N6.HOG0000031	OG0000003	n66													GZMOAL1EN_009896											
N6.HOG0000032	OG0000003	n299				GGMOZO1EN_011066								GZLIHY1EN_011530	GZMOAL1EN_010938											
N6.HOG0000033	OG0000003	n302				GGMOZO1EN_008817								GZLIHY1EN_008531	GZMOAL1EN_010492											
N6.HOG0000034	OG0000003	n305				GGMOZO1EN_006192								GZLIHY1EN_006651	GZMOAL1EN_005895											
N6.HOG0000035	OG0000003	n308				GGMOZO1EN_000378								GZLIHY1EN_000994	GZMOAL1EN_006944											
N6.HOG0000036	OG0000003	n314				GGMOZO1EN_004180								GZLIHY1EN_004412	GZMOAL1EN_000623											
N6.HOG0000037	OG0000003	n317				GGMOZO1EN_000586								GZLIHY1EN_000779	GZMOAL1EN_006796											
N6.HOG0000038	OG0000003	n320				GGMOZO1EN_004182								GZLIHY1EN_004410	GZMOAL1EN_000621											
N6.HOG0000039	OG0000003	n324				GGMOZO1EN_003918								GZLIHY1EN_004667	GZMOAL1EN_005219, GZMOAL1EN_005218											
