HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N15.HOG0000000	OG0000000	n14									GZCUBL1EN_007074	GZCUEC1EN_009546														
N15.HOG0000001	OG0000000	n16							GZABCY1EN_000630, GZABCY1EN_009747	GZABGL1EN_010107, GZABGL1EN_009951																
N15.HOG0000002	OG0000000	n24							GZABCY1EN_010724	GZABGL1EN_004134, GZABGL1EN_007361	GZCUBL1EN_003848	GZCUEC1EN_001221														
N15.HOG0000003	OG0000000	n43							GZABCY1EN_013970	GZABGL1EN_008586, GZABGL1EN_013535																
N15.HOG0000004	OG0000000	n65							GZABCY1EN_000055, GZABCY1EN_000056	GZABGL1EN_004701	GZCUBL1EN_005979	GZCUEC1EN_006437														
N15.HOG0000005	OG0000000	n82							GZABCY1EN_000202																	
N15.HOG0000006	OG0000000	n90							GZABCY1EN_002084, GZABCY1EN_009027	GZABGL1EN_004987, GZABGL1EN_013917																
N15.HOG0000007	OG0000000	n111							GZABCY1EN_006008	GZABGL1EN_005194, GZABGL1EN_007761	GZCUBL1EN_005189	GZCUEC1EN_009261														
N15.HOG0000008	OG0000000	n138							GZABCY1EN_011669	GZABGL1EN_014144	GZCUBL1EN_004717	GZCUEC1EN_004608														
N15.HOG0000009	OG0000000	n151							GZABCY1EN_013573, GZABCY1EN_010807	GZABGL1EN_008264, GZABGL1EN_009139	GZCUBL1EN_003303	GZCUEC1EN_001710														
N15.HOG0000010	OG0000000	n177							GZABCY1EN_007002	GZABGL1EN_007534	GZCUBL1EN_005636	GZCUEC1EN_005191														
N15.HOG0000011	OG0000000	n184							GZABCY1EN_001500	GZABGL1EN_004916, GZABGL1EN_008665	GZCUBL1EN_005228	GZCUEC1EN_009292														
N15.HOG0000012	OG0000000	n204							GZABCY1EN_004122, GZABCY1EN_003171	GZABGL1EN_009369, GZABGL1EN_013696	GZCUBL1EN_005382	GZCUEC1EN_005874														
N15.HOG0000013	OG0000000	n210								GZABGL1EN_003271																
