HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N16.HOG0000000	OG0000000	n36						GGRHOR1EN_005718, GGRHOR1EN_000999															GZRHST1EN_002978			
N16.HOG0000001	OG0000000	n39						GGRHOR1EN_003096, GGRHOR1EN_005369															GZRHST1EN_007559, GZRHST1EN_010609			
N16.HOG0000002	OG0000000	n43						GGRHOR1EN_011492															GZRHST1EN_006827			
N16.HOG0000003	OG0000000	n48						GGRHOR1EN_000535, GGRHOR1EN_008541															GZRHST1EN_003002			
N16.HOG0000004	OG0000000	n82						GGRHOR1EN_012655, GGRHOR1EN_012483															GZRHST1EN_009533			
N16.HOG0000005	OG0000000	n111						GGRHOR1EN_001099															GZRHST1EN_007662			
N16.HOG0000006	OG0000000	n138						GGRHOR1EN_006870, GGRHOR1EN_008253															GZRHST1EN_003752			
N16.HOG0000007	OG0000000	n165						GGRHOR1EN_013833															GZRHST1EN_005001			
N16.HOG0000008	OG0000000	n166						GGRHOR1EN_005561															GZRHST1EN_011791			
N16.HOG0000009	OG0000000	n192						GGRHOR1EN_009504															GZRHST1EN_008056			
N16.HOG0000010	OG0000000	n193						GGRHOR1EN_007114															GZRHST1EN_011655			
N16.HOG0000011	OG0000000	n210						GGRHOR1EN_009717																		
N16.HOG0000012	OG0000000	n238						GGRHOR1EN_013363, GGRHOR1EN_007745															GZRHST1EN_002676, GZRHST1EN_012406			
N16.HOG0000013	OG0000000	n250						GGRHOR1EN_004156															GZRHST1EN_001963			
N16.HOG0000014	OG0000000	n251						GGRHOR1EN_006581															GZRHST1EN_008381			
N16.HOG0000015	OG0000000	n271						GGRHOR1EN_004657															GZRHST1EN_004164			
N16.HOG0000016	OG0000000	n287						GGRHOR1EN_009366, GGRHOR1EN_013255															GZRHST1EN_000777			
N16.HOG0000017	OG0000000	n310						GGRHOR1EN_004821															GZRHST1EN_012681			
N16.HOG0000018	OG0000000	n315						GGRHOR1EN_004253, GGRHOR1EN_008773															GZRHST1EN_009449, GZRHST1EN_002024			
N16.HOG0000019	OG0000000	n343						GGRHOR1EN_000328, GGRHOR1EN_000879															GZRHST1EN_009315, GZRHST1EN_009638			
N16.HOG0000020	OG0000000	n432						GGRHOR1EN_000475															GZRHST1EN_008177			
N16.HOG0000021	OG0000000	n443						GGRHOR1EN_001427															GZRHST1EN_002719			
N16.HOG0000022	OG0000000	n444						GGRHOR1EN_009942															GZRHST1EN_010206			
N16.HOG0000023	OG0000000	n446						GGRHOR1EN_003308															GZRHST1EN_001078			
N16.HOG0000024	OG0000000	n482						GGRHOR1EN_011948															GZRHST1EN_006608, GZRHST1EN_001102			
N16.HOG0000025	OG0000000	n516						GGRHOR1EN_001514																		
N16.HOG0000026	OG0000000	n520						GGRHOR1EN_003003, GGRHOR1EN_009609															GZRHST1EN_007509, GZRHST1EN_002227			
N16.HOG0000027	OG0000001	n28						GGRHOR1EN_010616															GZRHST1EN_008717			
N16.HOG0000028	OG0000001	n30						GGRHOR1EN_004602															GZRHST1EN_13100			
N16.HOG0000029	OG0000001	n44						GGRHOR1EN_012525															GZRHST1EN_009260, GZRHST1EN_003019			
N16.HOG0000030	OG0000001	n68						GGRHOR1EN_009783															GZRHST1EN_000707, GZRHST1EN_012015			
N16.HOG0000031	OG0000001	n104						GGRHOR1EN_001489															GZRHST1EN_008932			
N16.HOG0000032	OG0000001	n105						GGRHOR1EN_008098															GZRHST1EN_002396			
N16.HOG0000033	OG0000001	n122						GGRHOR1EN_002900															GZRHST1EN_008675, GZRHST1EN_006792			
N16.HOG0000034	OG0000001	n142						GGRHOR1EN_004262															GZRHST1EN_002349			
N16.HOG0000035	OG0000001	n151						GGRHOR1EN_009465, GGRHOR1EN_005943															GZRHST1EN_007988, GZRHST1EN_000839			
N16.HOG0000036	OG0000001	n169						GGRHOR1EN_003843, GGRHOR1EN_010453															GZRHST1EN_003281			
N16.HOG0000037	OG0000001	n195						GGRHOR1EN_007606, GGRHOR1EN_004044															GZRHST1EN_000925, GZRHST1EN_001425			
N16.HOG0000038	OG0000001	n227						GGRHOR1EN_010949															GZRHST1EN_009714			
N16.HOG0000039	OG0000001	n234						GGRHOR1EN_006130															GZRHST1EN_007958, GZRHST1EN_000889			
N16.HOG0000040	OG0000001	n277						GGRHOR1EN_004633, GGRHOR1EN_004998															GZRHST1EN_000392, GZRHST1EN_002880			
N16.HOG0000041	OG0000001	n293						GGRHOR1EN_007827															GZRHST1EN_009779			
N16.HOG0000042	OG0000001	n313						GGRHOR1EN_003871															GZRHST1EN_009115			
N16.HOG0000043	OG0000001	n315						GGRHOR1EN_004216															GZRHST1EN_003239			
N16.HOG0000044	OG0000001	n327						GGRHOR1EN_010972, GGRHOR1EN_005282															GZRHST1EN_004766			
N16.HOG0000045	OG0000001	n349																					GZRHST1EN_008237, GZRHST1EN_009713			
N16.HOG0000046	OG0000001	n363						GGRHOR1EN_008434, GGRHOR1EN_000490															GZRHST1EN_003877			
N16.HOG0000047	OG0000001	n407						GGRHOR1EN_011888, GGRHOR1EN_002305															GZRHST1EN_006617, GZRHST1EN_011265			
N16.HOG0000048	OG0000001	n423						GGRHOR1EN_14088, GGRHOR1EN_010014															GZRHST1EN_009967			
